F,H,X_1,X_2,X_3
26FEB2011:00:00:00,18,s/d,33,s/d
26FEB2011:00:00:00,23,s/d,67,s/d
27FEB2011:00:00:00,7,s/d,35,s/d
27FEB2011:00:00:00,11,s/d,15,s/d
27FEB2011:00:00:00,13,s/d,14,s/d
27FEB2011:00:00:00,17,s/d,16,s/d
27FEB2011:00:00:00,20,s/d,36,s/d
27FEB2011:00:00:00,21,s/d,30,s/d
16MAY2011:00:00:00,15,s/d,19,17
16MAY2011:00:00:00,20,s/d,35,17
16MAY2011:00:00:00,21,s/d,35,17
17MAY2011:00:00:00,2,s/d,12,17
15APR2011:00:00:00,13,s/d,33,37
16APR2011:00:00:00,1,s/d,36,24
16APR2011:00:00:00,22,s/d,27,26
16APR2011:00:00:00,24,s/d,27,26
17APR2011:00:00:00,3,s/d,10,26
17APR2011:00:00:00,5,s/d,12,26
17APR2011:00:00:00,10,s/d,18,17
18APR2011:00:00:00,4,s/d,s/d,16
18APR2011:00:00:00,9,s/d,32,18
29MAR2011:00:00:00,20,s/d,41,s/d
30MAR2011:00:00:00,6,s/d,12,s/d
30MAR2011:00:00:00,7,s/d,17,s/d
30MAR2011:00:00:00,8,s/d,22,s/d
31MAR2011:00:00:00,5,s/d,28,s/d
31MAR2011:00:00:00,6,s/d,26,s/d
31MAR2011:00:00:00,10,s/d,20,s/d
17MAY2011:00:00:00,4,s/d,7,17
17MAY2011:00:00:00,9,s/d,29,18
18APR2011:00:00:00,15,s/d,19,22
18APR2011:00:00:00,17,s/d,24,23
18APR2011:00:00:00,19,s/d,37,24
18APR2011:00:00:00,21,s/d,37,25
18APR2011:00:00:00,22,s/d,40,25
19APR2011:00:00:00,5,s/d,23,25
19APR2011:00:00:00,7,s/d,30,25
19APR2011:00:00:00,22,s/d,36,28
19APR2011:00:00:00,24,s/d,23,27
20APR2011:00:00:00,6,s/d,6,25
20APR2011:00:00:00,14,s/d,22,20
20APR2011:00:00:00,24,s/d,28,18
19MAR2011:00:00:00,17,s/d,12,s/d
20MAR2011:00:00:00,4,s/d,28,s/d
20MAR2011:00:00:00,5,s/d,23,s/d
10MAR2011:00:00:00,4,s/d,9,s/d
10MAR2011:00:00:00,12,s/d,s/d,s/d
12MAY2011:00:00:00,13,s/d,40,73
12MAY2011:00:00:00,20,s/d,36,68
12MAY2011:00:00:00,21,s/d,29,66
22APR2011:00:00:00,15,s/d,s/d,s/d
22APR2011:00:00:00,19,s/d,s/d,s/d
22APR2011:00:00:00,23,s/d,s/d,s/d
23APR2011:00:00:00,12,s/d,s/d,s/d
23APR2011:00:00:00,13,s/d,s/d,s/d
23APR2011:00:00:00,22,s/d,s/d,s/d
24APR2011:00:00:00,1,s/d,s/d,s/d
24APR2011:00:00:00,7,s/d,s/d,s/d
24APR2011:00:00:00,9,s/d,s/d,s/d
24APR2011:00:00:00,19,s/d,s/d,s/d
13MAY2011:00:00:00,19,s/d,33,41
14MAY2011:00:00:00,5,s/d,10,38
03MAY2011:00:00:00,7,s/d,43,51
03MAY2011:00:00:00,14,s/d,s/d,52
04MAY2011:00:00:00,4,s/d,10,30
04MAY2011:00:00:00,7,s/d,24,27
04MAY2011:00:00:00,8,s/d,25,25
04MAY2011:00:00:00,11,s/d,22,24
25APR2011:00:00:00,6,s/d,s/d,s/d
25APR2011:00:00:00,11,s/d,s/d,s/d
25APR2011:00:00:00,14,s/d,23,s/d
25APR2011:00:00:00,21,s/d,54,s/d
26APR2011:00:00:00,3,s/d,22,40
26APR2011:00:00:00,11,s/d,27,35
26APR2011:00:00:00,12,s/d,29,35
27APR2011:00:00:00,3,s/d,18,34
27APR2011:00:00:00,7,s/d,23,35
15MAY2011:00:00:00,5,s/d,31,24
04MAY2011:00:00:00,13,s/d,23,25
04MAY2011:00:00:00,16,s/d,28,26
04MAY2011:00:00:00,18,s/d,35,28
04MAY2011:00:00:00,21,s/d,29,28
04MAY2011:00:00:00,24,s/d,14,29
05MAY2011:00:00:00,2,s/d,12,29
27APR2011:00:00:00,15,s/d,22,34
27APR2011:00:00:00,18,s/d,40,34
27APR2011:00:00:00,19,s/d,44,33
28APR2011:00:00:00,7,s/d,26,32
28APR2011:00:00:00,22,s/d,s/d,32
29APR2011:00:00:00,4,s/d,28,34
29APR2011:00:00:00,6,s/d,28,35
29APR2011:00:00:00,15,s/d,23,37
29APR2011:00:00:00,19,s/d,32,35
29APR2011:00:00:00,24,s/d,28,36
30APR2011:00:00:00,5,s/d,16,33
30APR2011:00:00:00,6,s/d,15,33
30APR2011:00:00:00,12,s/d,27,27
15MAY2011:00:00:00,10,s/d,42,30
05MAY2011:00:00:00,13,s/d,28,32
05MAY2011:00:00:00,17,s/d,26,43
06MAY2011:00:00:00,3,s/d,28,78
31MAR2011:00:00:00,21,s/d,41,s/d
11MAY2011:00:00:00,13,s/d,59,56
11MAY2011:00:00:00,14,s/d,81,58
11MAY2011:00:00:00,23,s/d,46,67
12MAY2011:00:00:00,9,s/d,53,71
12MAY2011:00:00:00,12,s/d,44,73
15MAY2011:00:00:00,0,,,
15MAY2011:00:00:00,15,s/d,10,30
16MAY2011:00:00:00,9,s/d,28,18
06MAY2011:00:00:00,7,s/d,30,86
06MAY2011:00:00:00,8,s/d,37,85
28FEB2011:00:00:00,13,s/d,28,s/d
28FEB2011:00:00:00,14,s/d,33,s/d
28FEB2011:00:00:00,19,s/d,27,s/d
28FEB2011:00:00:00,22,s/d,23,s/d
01MAR2011:00:00:00,2,s/d,10,s/d
01MAR2011:00:00:00,7,s/d,16,s/d
01MAR2011:00:00:00,8,s/d,19,s/d
01MAR2011:00:00:00,18,s/d,34,s/d
01MAR2011:00:00:00,20,s/d,39,s/d
06MAY2011:00:00:00,19,s/d,45,89
07MAY2011:00:00:00,3,s/d,31,86
07MAY2011:00:00:00,4,s/d,29,86
02MAR2011:00:00:00,21,s/d,35,s/d
03MAR2011:00:00:00,10,s/d,13,s/d
01DEC2009:00:00:00,2,2.11,40,
02DEC2009:00:00:00,18,0.85,29,
02DEC2009:00:00:00,21,0.94,33,
03DEC2009:00:00:00,16,0.6,17,
03DEC2009:00:00:00,18,0.53,21,
03DEC2009:00:00:00,21,0.59,30,
01DEC2009:00:00:00,14,0.76,20,
01DEC2009:00:00:00,21,1.16,39,
02DEC2009:00:00:00,1,1.51,33,
02DEC2009:00:00:00,2,1.55,29,
02DEC2009:00:00:00,3,1.46,12,
02DEC2009:00:00:00,11,0.63,s/d,
12DEC2009:00:00:00,19,0.51,13,
12DEC2009:00:00:00,20,0.5,16,
12DEC2009:00:00:00,23,0.58,25,
12DEC2009:00:00:00,15,0.54,15,
13DEC2009:00:00:00,13,0.36,9,
13DEC2009:00:00:00,23,0.66,32,
05DEC2009:00:00:00,23,0.98,24,
06DEC2009:00:00:00,11,0.38,9,
07DEC2009:00:00:00,6,0.38,20,
07DEC2009:00:00:00,15,0.6,25,
07DEC2009:00:00:00,21,0.59,23,
08DEC2009:00:00:00,21,0.46,21,
08DEC2009:00:00:00,24,0.5,18,
09DEC2009:00:00:00,8,0.38,s/d,
10DEC2009:00:00:00,1,0.7,29,
10DEC2009:00:00:00,5,0.49,10,
10DEC2009:00:00:00,17,0.7,36,
10DEC2009:00:00:00,18,0.63,35,
11DEC2009:00:00:00,21,0.73,27,
12DEC2009:00:00:00,1,0.85,17,
22DEC2009:00:00:00,4,0.7,9,
23DEC2009:00:00:00,15,1,13,
24DEC2009:00:00:00,10,0.61,32,
14DEC2009:00:00:00,22,0.78,42,
15DEC2009:00:00:00,5,0.86,11,
15DEC2009:00:00:00,13,0.85,34,
15DEC2009:00:00:00,15,0.86,22,
15DEC2009:00:00:00,20,0.66,20,
15DEC2009:00:00:00,24,0.69,17,
16DEC2009:00:00:00,5,0.5,6,
16DEC2009:00:00:00,14,0.73,27,
17DEC2009:00:00:00,7,0.45,16,
17DEC2009:00:00:00,19,0.63,30,
17DEC2009:00:00:00,24,0.74,21,
18DEC2009:00:00:00,12,0.45,16,
18DEC2009:00:00:00,17,0.6,23,
18DEC2009:00:00:00,21,0.69,29,
19DEC2009:00:00:00,17,0.86,30,
20DEC2009:00:00:00,9,0.58,10,
20DEC2009:00:00:00,12,0.5,13,
20DEC2009:00:00:00,14,0.51,39,
20DEC2009:00:00:00,19,0.5,17,
20DEC2009:00:00:00,21,0.49,18,
20DEC2009:00:00:00,23,0.51,20,
20DEC2009:00:00:00,24,0.5,15,
21DEC2009:00:00:00,9,s/d,s/d,
31DEC2009:00:00:00,11,s/d,s/d,
30DEC2009:00:00:00,19,s/d,s/d,
30DEC2009:00:00:00,22,s/d,s/d,
30DEC2009:00:00:00,24,s/d,s/d,
31DEC2009:00:00:00,1,s/d,s/d,
31DEC2009:00:00:00,7,s/d,s/d,
31DEC2009:00:00:00,14,s/d,s/d,
31DEC2009:00:00:00,22,s/d,s/d,
01JAN2010:00:00:00,4,s/d,s/d,
01JAN2010:00:00:00,10,s/d,s/d,
24DEC2009:00:00:00,13,0.43,7,
24DEC2009:00:00:00,19,0.43,20,
24DEC2009:00:00:00,24,0.53,14,
25DEC2009:00:00:00,5,0.54,9,
25DEC2009:00:00:00,13,0.7,18,
25DEC2009:00:00:00,16,0.7,21,
26DEC2009:00:00:00,2,0.65,22,
26DEC2009:00:00:00,3,0.68,21,
26DEC2009:00:00:00,8,0.71,22,
26DEC2009:00:00:00,14,0.56,10,
26DEC2009:00:00:00,17,0.49,19,
27DEC2009:00:00:00,22,0.55,20,
28DEC2009:00:00:00,4,0.55,5,
28DEC2009:00:00:00,7,0.44,10,
28DEC2009:00:00:00,23,0.98,29,
28DEC2009:00:00:00,24,1.06,29,
29DEC2009:00:00:00,7,1.23,s/d,
29DEC2009:00:00:00,12,s/d,20,
30DEC2009:00:00:00,5,s/d,s/d,
30DEC2009:00:00:00,6,s/d,s/d,
09JAN2010:00:00:00,3,s/d,s/d,
09JAN2010:00:00:00,13,s/d,s/d,
09JAN2010:00:00:00,23,s/d,s/d,
09JAN2010:00:00:00,24,s/d,s/d,
10JAN2010:00:00:00,3,s/d,s/d,
10JAN2010:00:00:00,4,s/d,s/d,
01JAN2010:00:00:00,14,s/d,s/d,
01JAN2010:00:00:00,19,s/d,s/d,
01JAN2010:00:00:00,24,s/d,s/d,
02JAN2010:00:00:00,8,s/d,s/d,
02JAN2010:00:00:00,9,s/d,s/d,
02JAN2010:00:00:00,13,s/d,s/d,
02JAN2010:00:00:00,20,s/d,s/d,
02JAN2010:00:00:00,22,s/d,s/d,
03JAN2010:00:00:00,17,s/d,s/d,
03JAN2010:00:00:00,21,s/d,s/d,
04JAN2010:00:00:00,10,s/d,s/d,
04JAN2010:00:00:00,0,,,
04JAN2010:00:00:00,17,s/d,s/d,
05JAN2010:00:00:00,14,s/d,s/d,
05JAN2010:00:00:00,20,s/d,s/d,
