X
2.1
4.4
2.7
32.3
9.9
9.0
2.0
6.6
3.9
1.6
14.7
9.6
16.7
7.4
8.2
19.2
6.9
4.3
3.3
1.2
4.1
18.4
0.2
6.1
13.5
7.4
0.2
8.3
0.3
1.3
14.1
1.0
2.4
2.4
18.0
8.7
24.0
1.4
8.2
5.8
1.6
3.5
11.4
18.0
26.7
3.7
12.6
23.1
5.6
0.4
